price,brand,model,year,title_status,color,state,country,condition,km
11380,jeep,mpv,2019,clean vehicle,black,michigan, usa,2 days left,19373.23492
40514,ford,door,2017,clean vehicle,white,michigan, usa,20 hours left,145329.83936
10330,infiniti,mpv,2019,clean vehicle,gray,florida, usa,22 hours left,41735.01422
43402,ford,door,2017,clean vehicle,blue,michigan, usa,2 days left,100401.89458
17200,honda,van,2016,clean vehicle,gray,new jersey, usa,2 hours left,116720.60218
54680,harley-davidson,road/street,2016,clean vehicle,black,virginia, usa,18 hours left,15291.94868
13080,infiniti,mpv,2019,clean vehicle,gray,florida, usa,22 hours left,27749.84962
10630,ford,door,2015,clean vehicle,white,georgia, usa,2 days left,133412.67666
43009,ford,door,2017,clean vehicle,white,michigan, usa,2 days left,122982.54412
53500,ford,door,2017,clean vehicle,white,michigan, usa,20 hours left,89691.73688
61200,bmw,series,2020,clean vehicle,black,california, usa,7 days left,12084.53406
13500,bmw,series,2014,clean vehicle,blue,new jersey, usa,2 days left,53980.48228
51502,ford,door,2017,clean vehicle,black,michigan, usa,2 days left,44515.95374
39800,bmw,series,2017,clean vehicle,blue,california, usa,21 hours left,37299.67318
58500,ford,srw,2019,clean vehicle,blue,washington, usa,21 hours left,34644.26218
15050,infiniti,mpv,2019,clean vehicle,white,texas, usa,17 hours left,43107.78124
36300,lincoln,nautilus,2019,clean vehicle,black,california, usa,1 days left,23401.41294
55600,lexus,gx,2020,clean vehicle,silver,florida, usa,2 days left,13174.05724
19500,audi,q5,2017,clean vehicle,blue,texas, usa,3 days left,105947.68022
20400,cadillac,door,2015,clean vehicle,white,wisconsin, usa,2 days left,58132.57948
33001,ford,f-150,2017,clean vehicle,gray,michigan, usa,2 days left,57783.3527
14750,infiniti,mpv,2019,clean vehicle,black,texas, usa,17 hours left,17778.37898
40000,mercedes-benz,gle,2019,clean vehicle,white,california, usa,1 days left,31264.64818
13000,kia,sportage,2017,clean vehicle,silver,new jersey, usa,2 hours left,115857.99594
36400,audi,5,2015,clean vehicle,black,wisconsin, usa,2 days left,75981.76942
31003,ford,door,2017,clean vehicle,red,michigan, usa,20 hours left,116007.66456
14750,infiniti,mpv,2019,clean vehicle,white,texas, usa,17 hours left,18340.03864
23000,land,sport,2018,clean vehicle,black,california, usa,1 days left,32352.56202
46900,land,discovery,2018,clean vehicle,black,florida, usa,2 days left,52121.69458
10740,mercedes-benz,doors,2018,clean vehicle,white,california, usa,20 hours left,77473.62759999999
27102,ford,f-150,2017,clean vehicle,red,michigan, usa,2 days left,54983.1011
23200,land,sport,2018,clean vehicle,black,california, usa,1 days left,38213.7783
15000,bmw,door,2014,clean vehicle,silver,illinois, usa,21 hours left,71985.7782
10440,chevrolet,cab,2011,clean vehicle,blue,florida, usa,23 hours left,148825.32584
23911,ford,f-150,2017,clean vehicle,black,michigan, usa,20 hours left,41356.81932
21400,gmc,acadia,2018,clean vehicle,gray,new jersey, usa,2 hours left,87438.66088
11000,jeep,mpv,2019,clean vehicle,red,michigan, usa,2 days left,14371.4062
22500,land,sport,2018,clean vehicle,black,california, usa,2 days left,48634.2548
